country,order_value_EUR,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,refund
France,148405.47,128845.63,2019-10-27,Electronics,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,82-1082124,72313.0
France,83340.04,73264.23,2020-05-18,Clothing,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,65-5818172,35436.0
France,80781.62,68971.35,2019-01-19,Smartphones,McGlynn-Prosacco,Othello Bowes,Ora Grennan,Mobile,53-1426071,33828.0
France,123672.7,106036.97,2020-11-13,Smartphones,McGlynn-Prosacco,Othello Bowes,Crysta Halls,PC,46-2632808,59790.0
France,146325.53,118333.46,2020-09-08,Games,Stehr-Bogan,Othello Bowes,Crysta Halls,PC,95-8015610,71673.0
France,162199.24,130878.57,2020-06-22,Appliances,West-Cummings,Othello Bowes,Avrit Chanders,PC,75-1807214,80787.0
France,186209.44,148818.58,2019-06-24,Clothing,Friesen-Rath,Othello Bowes,Avrit Chanders,Mobile,69-8016438,89000.0
France,27400.69,22832.99,2019-09-18,Electronics,Friesen and Sons,Othello Bowes,Maighdiln Upcraft,PC,19-8109416,3436.0
France,75483.45,60077.28,2019-03-12,Appliances,Johns and Sons,Othello Bowes,Ora Grennan,PC,26-0092767,30809.0
France,150135.0,131067.85,2020-09-09,Smartphones,Larkin-Collier,Othello Bowes,Avrit Chanders,PC,68-0080728,73751.0
France,212521.26,172014.71,2019-06-20,Books,Johns and Sons,Othello Bowes,Crysta Halls,PC,43-7357498,90973.0
France,133754.65,106147.69,2020-09-18,Games,Armstrong-Little,Othello Bowes,Ora Grennan,PC,52-3150154,66515.0
France,84035.82,71329.6,2020-10-27,Books,Johns and Sons,Othello Bowes,Maighdiln Upcraft,Tablet,30-9025281,36073.0
France,31161.76,27300.82,2020-09-05,Beauty,"Hermiston, Simonis and Wisoky",Othello Bowes,Maighdiln Upcraft,Mobile,06-4986886,4916.0
France,108968.67,88395.39,2019-10-17,Books,Johns and Sons,Othello Bowes,Ora Grennan,PC,08-4398900,51040.0
France,118027.37,96050.67,2019-06-04,Beauty,Johns and Sons,Othello Bowes,Ora Grennan,PC,77-3656041,56018.0
France,26103.94,22339.75,2020-08-31,Appliances,"Fisher, Morar and Skiles",Othello Bowes,Ora Grennan,Tablet,89-0187996,3220.0
France,91540.03,74916.36,2019-09-09,Clothing,Kihn Inc,Othello Bowes,Ora Grennan,PC,38-6130023,41276.0
France,29443.71,23958.35,2020-10-29,Appliances,Johns and Sons,Othello Bowes,Ora Grennan,PC,03-2027170,4167.0
France,155044.02,134268.12,2019-10-25,Beauty,West-Cummings,Othello Bowes,Amelina Piscopiello,PC,46-0270404,76397.0
France,234340.31,204438.49,2020-12-13,Clothing,Hessel-Stiedemann,Othello Bowes,Avrit Chanders,PC,70-0364033,92723.0
France,55804.05,46401.07,2019-05-03,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,57-6995715,18399.0
France,86077.83,72288.16,2019-03-11,Appliances,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,85-7784608,38404.0
France,123562.02,102927.16,2020-04-22,Clothing,McGlynn-Bergstrom,Othello Bowes,Amelina Piscopiello,PC,67-6072579,59724.0
France,38648.72,32368.3,2020-04-12,Beauty,"Leffler, Prohaska and Streich",Othello Bowes,Crysta Halls,Tablet,04-6732680,8651.0
France,50516.2,43918.78,2019-03-22,Electronics,Wiza and Sons,Othello Bowes,Maighdiln Upcraft,PC,50-1986322,15212.0
France,184431.48,153059.69,2019-07-12,Books,Johns and Sons,Othello Bowes,Ora Grennan,Mobile,44-7664180,88849.0
France,102255.86,83379.43,2020-12-11,Smartphones,Rath-Schroeder,Othello Bowes,Avrit Chanders,PC,78-3726363,46524.0
France,101318.72,86657.9,2019-04-13,Games,Hilll-Vandervort,Othello Bowes,Maighdiln Upcraft,PC,54-5705354,46221.0
France,177802.7,155079.51,2019-07-18,Other,Larkin-Collier,Othello Bowes,Amelina Piscopiello,PC,56-2537757,87006.0
France,250488.42,214142.55,2020-06-13,Appliances,Goldner-Dibbert,Othello Bowes,Amelina Piscopiello,PC,18-2580592,94954.0
France,271411.92,231514.37,2019-09-12,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Tablet,56-9241023,97244.0
France,180515.09,148852.74,2019-12-26,Books,Franecki-White,Othello Bowes,Amelina Piscopiello,PC,68-6141868,88347.0
France,26713.46,22043.95,2020-12-10,Beauty,Wisoky Inc,Othello Bowes,Ora Grennan,PC,81-4176165,3283.0
France,18326.41,15067.97,2019-03-02,Games,"Schmitt, Purdy and Johnson",Othello Bowes,Ora Grennan,PC,25-6638623,1149.0
France,132760.25,105039.91,2020-07-01,Beauty,"Swaniawski, Runolfsson and Green",Othello Bowes,Crysta Halls,PC,55-4161787,66095.0
France,106730.16,89503.91,2020-07-30,Beauty,"Farrell, Swaniawski and Crist",Othello Bowes,Ora Grennan,PC,60-0406937,50229.0
France,40544.43,32666.65,2020-01-08,Books,Johns and Sons,Othello Bowes,Ora Grennan,PC,89-7467187,9973.0
France,144204.86,115262.94,2020-08-11,Books,McClure Inc,Othello Bowes,Amelina Piscopiello,PC,56-7910696,70511.0
France,238659.41,204507.25,2019-12-23,Appliances,Corwin and Sons,Othello Bowes,Amelina Piscopiello,Tablet,49-7167664,93154.0
France,16388.9,13430.7,2020-03-15,Electronics,West-Cummings,Othello Bowes,Crysta Halls,PC,30-9690927,1041.0
France,80294.56,65295.54,2019-04-10,Books,Considine-Fisher,Othello Bowes,Avrit Chanders,PC,47-9858688,33530.0
France,56823.17,46583.63,2019-12-21,Beauty,"Rowe, Hermiston and Kessler",Othello Bowes,Ora Grennan,Mobile,26-1781486,19196.0
France,72314.73,57309.42,2019-08-27,Appliances,Johns and Sons,Othello Bowes,Ora Grennan,PC,70-5394452,29278.0
France,84712.13,73004.91,2020-11-07,Books,Altenwerth-Konopelski,Othello Bowes,Ora Grennan,PC,29-8090560,37221.0
France,161212.39,138046.17,2020-04-07,Accessories,Hilll-Vandervort,Othello Bowes,Crysta Halls,PC,21-6670877,79459.0
France,76543.36,65819.64,2019-03-21,Accessories,"Hermiston, Simonis and Wisoky",Othello Bowes,Ora Grennan,PC,01-7655863,31087.0
France,82697.53,69548.62,2020-12-08,Games,Kihn Inc,Othello Bowes,Avrit Chanders,PC,47-5319780,35014.0
France,74685.85,59166.13,2020-05-23,Games,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Avrit Chanders,PC,68-0176456,30547.0
France,234961.46,199388.3,2019-02-06,Accessories,"Heaney, Gulgowski and Kshlerin",Othello Bowes,Maighdiln Upcraft,Mobile,24-9178520,92752.0
France,165259.58,130703.8,2020-06-26,Outdoors,Armstrong-Little,Othello Bowes,Crysta Halls,PC,46-1318487,82408.0
France,35289.75,29424.59,2019-02-26,Smartphones,Armstrong-Little,Othello Bowes,Maighdiln Upcraft,PC,92-6298656,6349.0
France,165262.34,142621.4,2020-05-19,Electronics,Altenwerth-Konopelski,Othello Bowes,Amelina Piscopiello,Mobile,96-0020600,82429.0
France,232217.05,191439.74,2019-06-20,Beauty,Hessel-Stiedemann,Othello Bowes,Maighdiln Upcraft,Mobile,19-6334792,92461.0
France,99319.33,79127.71,2020-05-26,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,53-3037652,45336.0
France,125499.82,100977.16,2019-08-04,Beauty,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,PC,47-9191500,60838.0
France,66884.7,58544.18,2020-01-19,Smartphones,Wisoky Inc,Othello Bowes,Crysta Halls,PC,44-9179070,26210.0
France,176190.16,142273.55,2019-02-09,Appliances,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,03-3461826,86551.0
France,64827.8,56043.63,2019-01-20,Appliances,Gislason-Stanton,Othello Bowes,Maighdiln Upcraft,PC,62-3312495,24438.0
France,131864.04,110277.9,2019-09-04,Appliances,"Murray, Reichel and Nolan",Othello Bowes,Ora Grennan,PC,67-2684209,65659.0
France,219911.81,179426.05,2019-05-07,Clothing,Smith Group,Othello Bowes,Crysta Halls,PC,99-3971751,91287.0
France,38750.53,31298.8,2019-01-09,Outdoors,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,22-5929243,8899.0
France,89930.18,78005.44,2020-03-26,Other,Hessel-Stiedemann,Othello Bowes,Maighdiln Upcraft,PC,65-0441590,40869.0
France,122468.33,103032.61,2020-08-09,Electronics,Johns and Sons,Othello Bowes,Avrit Chanders,Mobile,53-7680732,58961.0
France,66678.38,53009.31,2019-04-03,Smartphones,Walter LLC,Othello Bowes,Amelina Piscopiello,PC,34-3119010,26136.0
France,56106.13,45081.27,2020-12-03,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,24-3140242,18529.0
France,45481.24,37317.36,2019-10-25,Smartphones,Wiza and Sons,Othello Bowes,Crysta Halls,PC,13-6163562,13245.0
France,133905.55,116886.15,2020-01-08,Books,"Keeling, Monahan and Pollich",Othello Bowes,Avrit Chanders,Mobile,79-0973971,66735.0
France,77043.84,63245.29,2020-08-02,Outdoors,Armstrong-Little,Othello Bowes,Avrit Chanders,PC,91-7317758,31398.0
France,99132.04,78819.89,2020-03-21,Smartphones,Kirlin and Sons,Othello Bowes,Avrit Chanders,PC,44-6408586,45035.0
France,176114.73,149257.23,2020-11-24,Electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,97-4830372,86486.0
France,171458.64,148877.54,2019-08-16,Books,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,74-6473826,84419.0
France,150287.47,123611.44,2020-05-08,Books,"Fisher, Morar and Skiles",Othello Bowes,Avrit Chanders,PC,66-4296261,73993.0
France,167935.31,137942.06,2019-04-18,Games,Romaguera-Haley,Othello Bowes,Amelina Piscopiello,PC,03-4045721,83202.0
France,35437.89,30412.8,2020-03-02,Clothing,Homenick-Marvin,Othello Bowes,Ora Grennan,PC,82-0616982,6555.0
France,95307.21,78533.14,2020-03-26,Books,Armstrong-Little,Othello Bowes,Amelina Piscopiello,PC,52-0213558,42600.0
France,197581.29,169485.23,2019-12-13,Electronics,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Ora Grennan,PC,74-6221213,89656.0
France,134243.39,113019.51,2019-01-21,Beauty,Kihn Inc,Othello Bowes,Maighdiln Upcraft,PC,64-1003834,67185.0
France,155827.3,126360.36,2019-04-30,Appliances,Hilll-Vandervort,Othello Bowes,Avrit Chanders,Tablet,31-9806848,76482.0
France,57292.84,45908.75,2019-03-10,Electronics,"Zieme, Bailey and Herzog",Othello Bowes,Ora Grennan,PC,18-5234470,19851.0
France,75264.84,61694.59,2020-09-16,Clothing,Tillman and Sons,Othello Bowes,Ora Grennan,Mobile,93-5465623,30664.0
France,85337.78,72306.7,2020-04-02,Appliances,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Crysta Halls,Mobile,78-6287811,38148.0
France,195214.72,154649.1,2019-06-26,Books,"Keeling, Monahan and Pollich",Othello Bowes,Maighdiln Upcraft,PC,92-3462655,89625.0
France,108713.83,90341.19,2020-09-03,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,55-1395838,50892.0
France,63298.61,53645.57,2020-10-04,Appliances,"Schowalter, Lesch and Beahan",Othello Bowes,Avrit Chanders,Mobile,65-5376517,23978.0
France,67594.1,54920.21,2019-09-26,Other,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,70-1769929,26467.0
France,143658.22,123158.19,2020-10-30,Appliances,Wisoky Inc,Othello Bowes,Amelina Piscopiello,PC,22-6938537,70390.0
France,28783.05,24776.45,2019-03-29,Clothing,Dibbert Inc,Othello Bowes,Maighdiln Upcraft,PC,12-1249283,3921.0
France,87355.7,74584.3,2019-03-02,Smartphones,Smith Group,Othello Bowes,Crysta Halls,PC,33-4706706,39110.0
France,57276.26,49223.22,2020-04-04,Appliances,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,48-2932903,19794.0
France,238850.25,199607.15,2019-06-30,Appliances,"Rowe, Hermiston and Kessler",Othello Bowes,Ora Grennan,PC,19-9649739,93225.0
France,121043.69,96750.22,2020-09-28,Books,Hessel-Stiedemann,Othello Bowes,Crysta Halls,PC,28-6152726,57984.0
France,86628.32,72464.59,2019-06-11,Appliances,Kihn Inc,Othello Bowes,Crysta Halls,PC,98-8250897,38497.0
France,154936.24,135739.64,2020-06-29,Books,Friesen-Rath,Othello Bowes,Ora Grennan,PC,65-2631885,76287.0
France,36183.97,30579.07,2020-09-08,Books,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Avrit Chanders,Mobile,91-4296427,6761.0
France,71079.8,56778.54,2019-11-15,Electronics,"Swaniawski, Runolfsson and Green",Othello Bowes,Avrit Chanders,PC,30-9137723,28990.0
France,111676.46,92791.97,2019-08-06,Beauty,Armstrong-Little,Othello Bowes,Ora Grennan,PC,35-7483371,53286.0
France,235042.75,187446.59,2019-12-25,Books,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Maighdiln Upcraft,PC,12-3815754,92967.0
France,131097.05,109203.84,2020-06-26,Beauty,Larkin-Collier,Othello Bowes,Maighdiln Upcraft,PC,80-1374023,65016.0
France,109697.86,89853.52,2019-07-24,Beauty,Considine-Fisher,Othello Bowes,Crysta Halls,PC,04-8899739,51374.0
France,115689.22,98127.6,2019-07-15,Clothing,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,99-8643527,54471.0
France,79833.6,63411.83,2019-06-15,Appliances,McGlynn-Bergstrom,Othello Bowes,Avrit Chanders,PC,86-6760202,33370.0
France,90228.68,77966.6,2019-01-27,Electronics,Wiza and Sons,Othello Bowes,Avrit Chanders,PC,64-9816105,40894.0
France,144640.8,118345.1,2019-11-04,Electronics,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,PC,77-7771177,70788.0
France,48890.14,41180.16,2019-05-20,Clothing,Johns and Sons,Othello Bowes,Ora Grennan,PC,85-5544928,14586.0
France,40535.64,35480.85,2019-01-13,Electronics,Kihn Inc,Othello Bowes,Crysta Halls,PC,72-2796883,9933.0
France,42290.45,34255.26,2019-10-11,Clothing,Walter LLC,Othello Bowes,Avrit Chanders,Tablet,97-8921759,10723.0
France,110878.97,90588.12,2020-06-02,Appliances,Konopelski LLC,Othello Bowes,Amelina Piscopiello,PC,50-8357453,52339.0
France,141112.84,120044.69,2020-08-08,Electronics,Gislason-Stanton,Othello Bowes,Avrit Chanders,Mobile,47-9701762,69785.0
France,47680.2,40575.85,2019-08-07,Clothing,Dibbert Inc,Othello Bowes,Crysta Halls,PC,11-6024248,13991.0
France,37397.43,30837.92,2020-05-17,Games,Hegmann Group,Othello Bowes,Avrit Chanders,PC,24-6566439,7780.0
France,62788.04,53049.61,2020-02-13,Appliances,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,71-2709641,23833.0
France,249915.21,215326.95,2020-12-15,Appliances,Armstrong-Little,Othello Bowes,Crysta Halls,PC,84-4465649,94506.0
France,63690.72,53455.62,2020-08-27,Electronics,Hegmann Group,Othello Bowes,Crysta Halls,Mobile,74-9856135,24042.0
France,197471.1,162577.96,2019-06-28,Appliances,Johns and Sons,Othello Bowes,Crysta Halls,PC,59-5711012,89655.0
France,75522.66,60448.34,2019-03-13,Smartphones,Corwin and Sons,Othello Bowes,Crysta Halls,PC,75-8968627,30820.0
France,168197.78,144246.42,2019-01-13,Smartphones,Kihn Inc,Othello Bowes,Crysta Halls,PC,93-8309926,83399.0
France,68773.03,59082.91,2019-09-30,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,26-5649751,27067.0
France,165118.74,137527.4,2019-02-11,Clothing,Smith Group,Othello Bowes,Amelina Piscopiello,PC,59-5892824,82330.0
France,168226.52,136818.63,2020-01-25,Smartphones,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,26-9826298,83434.0
France,173478.65,139650.31,2019-01-29,Books,Johns and Sons,Othello Bowes,Avrit Chanders,PC,99-7422044,85356.0
France,105522.72,86581.39,2019-02-16,Clothing,Gislason-Stanton,Othello Bowes,Amelina Piscopiello,PC,79-6118087,49249.0
France,56705.66,46986.31,2019-01-02,Outdoors,Johns and Sons,Othello Bowes,Crysta Halls,PC,46-0117523,18748.0
France,138175.53,116744.51,2020-03-11,Other,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,PC,80-8230605,68471.0
France,84194.21,71885.02,2020-12-26,Books,"Zieme, Bailey and Herzog",Othello Bowes,Avrit Chanders,Mobile,31-8836719,36172.0
France,163401.23,139413.93,2019-04-22,Clothing,Wisoky Inc,Othello Bowes,Avrit Chanders,PC,98-2104934,81386.0
France,110090.36,93433.69,2019-01-02,Clothing,"Leffler, Prohaska and Streich",Othello Bowes,Maighdiln Upcraft,PC,43-6672888,51870.0
France,102771.44,83584.01,2019-11-24,Accessories,McClure Inc,Othello Bowes,Maighdiln Upcraft,PC,82-9352154,46850.0
France,74103.82,64811.2,2020-02-01,Appliances,Johns and Sons,Othello Bowes,Ora Grennan,PC,63-7370049,30252.0
France,80839.75,63936.16,2020-05-21,Games,Goldner-Dibbert,Othello Bowes,Crysta Halls,PC,00-6227453,33893.0
France,144927.17,122260.56,2020-07-09,Appliances,Romaguera-Dietrich,Othello Bowes,Crysta Halls,PC,29-9208067,70923.0
France,173829.96,149824.04,2019-09-23,Beauty,Dibbert Inc,Othello Bowes,Amelina Piscopiello,PC,55-2128150,85669.0
France,164243.32,134121.1,2019-05-20,Smartphones,Kirlin and Sons,Othello Bowes,Amelina Piscopiello,PC,38-2806168,81812.0
France,57333.85,46308.55,2020-10-24,Other,Goldner-Dibbert,Othello Bowes,Amelina Piscopiello,PC,35-9605742,20026.0
France,57348.43,47587.73,2019-12-01,Clothing,Hessel-Stiedemann,Othello Bowes,Crysta Halls,PC,73-6329299,20405.0
France,141436.98,114691.25,2019-05-26,Outdoors,Walter LLC,Othello Bowes,Maighdiln Upcraft,PC,40-5308505,69929.0
France,79205.19,65423.49,2019-07-05,Games,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Avrit Chanders,Tablet,45-5157875,32892.0
France,111462.88,94130.4,2020-03-09,Outdoors,Romaguera-Dietrich,Othello Bowes,Avrit Chanders,Tablet,70-9378988,52617.0
France,85220.83,73767.15,2019-09-15,Beauty,"Shanahan, Schaden and Parker",Othello Bowes,Crysta Halls,Tablet,11-8965256,37787.0
France,264149.91,208757.67,2020-12-20,Smartphones,"Schmitt, Purdy and Johnson",Othello Bowes,Avrit Chanders,PC,32-3994860,96681.0
France,116328.75,93365.45,2019-09-27,Appliances,"Schowalter, Lesch and Beahan",Othello Bowes,Crysta Halls,PC,02-6830973,54749.0
France,173418.59,140746.53,2019-05-19,Electronics,Hessel-Stiedemann,Othello Bowes,Maighdiln Upcraft,PC,03-5073152,85185.0
France,33013.08,26743.9,2020-11-28,Electronics,Romaguera-Dietrich,Othello Bowes,Amelina Piscopiello,PC,89-0300778,5460.0
France,274242.36,227950.25,2020-09-12,Outdoors,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Mobile,80-5258827,97335.0
France,118021.59,98229.37,2019-04-21,Beauty,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Maighdiln Upcraft,PC,60-8661261,55595.0
France,108158.8,89328.35,2020-09-10,Appliances,Altenwerth-Konopelski,Othello Bowes,Crysta Halls,PC,53-4511393,50810.0
France,94925.0,77572.71,2019-09-30,Accessories,Schoen-Keeling,Othello Bowes,Avrit Chanders,Mobile,21-2097342,42512.0
France,164267.72,139069.05,2020-08-10,Appliances,Hilll-Vandervort,Othello Bowes,Crysta Halls,PC,51-9052860,81903.0
France,156110.4,132584.56,2019-07-22,Beauty,Stehr LLC,Othello Bowes,Maighdiln Upcraft,PC,18-3315246,76507.0
France,124534.96,107012.89,2020-07-18,Books,"Dickinson, Hyatt and Berge",Othello Bowes,Maighdiln Upcraft,PC,45-2229786,60227.0
France,174951.18,142690.18,2019-09-18,Clothing,Tillman and Sons,Othello Bowes,Amelina Piscopiello,Mobile,09-7737652,86308.0
France,81095.39,64316.75,2020-08-09,Games,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,PC,36-8783637,34409.0
France,78540.62,63987.04,2019-08-10,Clothing,Considine-Fisher,Othello Bowes,Crysta Halls,PC,55-1050582,32348.0
France,70657.26,61330.5,2020-05-09,Other,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,PC,34-0783331,28415.0
France,80431.34,69774.19,2019-07-22,Beauty,Hessel-Stiedemann,Othello Bowes,Crysta Halls,PC,32-5562588,33628.0
France,86050.61,75569.65,2020-03-09,Clothing,McClure Inc,Othello Bowes,Crysta Halls,PC,46-4560578,38354.0
France,119156.18,100710.8,2019-08-20,Beauty,Johns and Sons,Othello Bowes,Ora Grennan,PC,19-5610175,56800.0
France,40148.49,31954.18,2019-02-02,Electronics,Hane Inc,Othello Bowes,Amelina Piscopiello,PC,88-8981595,9857.0
France,109562.5,89917.94,2020-05-08,Appliances,"Dickinson, Hyatt and Berge",Othello Bowes,Maighdiln Upcraft,PC,67-3672347,51324.0
France,174392.33,141449.62,2020-03-08,Smartphones,Labadie and Sons,Othello Bowes,Ora Grennan,PC,34-4313860,86174.0
France,111557.68,92470.16,2020-02-15,Books,Hessel-Stiedemann,Othello Bowes,Crysta Halls,PC,61-0532585,53150.0
France,107586.21,94525.24,2020-07-06,Electronics,"Spencer, Rogahn and Muller",Othello Bowes,Amelina Piscopiello,PC,20-3384992,50600.0
France,34771.79,28509.39,2020-03-19,Smartphones,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,PC,45-5963143,6064.0
France,116206.87,93104.94,2019-04-15,Games,"Keeling, Monahan and Pollich",Othello Bowes,Amelina Piscopiello,PC,34-6603897,54648.0
France,32661.62,27922.42,2020-08-02,Electronics,"Zieme, Bailey and Herzog",Othello Bowes,Amelina Piscopiello,PC,24-7300640,5179.0
France,85223.07,73002.08,2019-09-15,Beauty,"Hamill, Kulas and Roob",Othello Bowes,Maighdiln Upcraft,PC,58-7865136,37802.0
France,19814.86,16787.15,2020-03-20,Appliances,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,PC,84-0460695,1479.0
France,58416.11,48076.46,2020-05-16,Appliances,Stehr LLC,Othello Bowes,Maighdiln Upcraft,PC,47-5051773,21588.0
France,51504.5,44592.6,2019-09-22,Appliances,Dibbert Inc,Othello Bowes,Amelina Piscopiello,PC,17-3240628,15923.0
France,56068.7,47378.05,2019-06-02,Games,"Dickinson, Hyatt and Berge",Othello Bowes,Ora Grennan,PC,24-2679038,18426.0
France,78629.19,63359.4,2019-02-21,Appliances,Johns and Sons,Othello Bowes,Amelina Piscopiello,Mobile,92-3687989,32426.0
France,19366.75,15857.49,2020-03-28,Games,Wisoky Inc,Othello Bowes,Avrit Chanders,PC,01-6107437,1273.0
France,96613.06,79242.03,2019-04-24,Books,Johns and Sons,Othello Bowes,Ora Grennan,PC,03-7559332,42917.0
France,133985.91,116741.92,2019-01-15,Clothing,Kihn Inc,Othello Bowes,Amelina Piscopiello,PC,48-3190394,66897.0
France,119820.82,98289.02,2019-06-16,Appliances,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,82-2972108,57142.0
France,66141.13,53435.42,2019-05-26,Clothing,Stehr LLC,Othello Bowes,Ora Grennan,PC,54-5107115,25746.0
France,98915.41,85176.06,2020-02-04,Electronics,Schoen-Keeling,Othello Bowes,Ora Grennan,Mobile,63-5897834,44506.0
France,141948.11,112948.11,2020-04-25,Books,Stehr LLC,Othello Bowes,Maighdiln Upcraft,PC,46-5576111,70037.0
France,162123.74,133979.06,2020-04-14,Beauty,Johns and Sons,Othello Bowes,Maighdiln Upcraft,PC,94-3509391,80478.0
France,65036.81,52361.14,2019-05-30,Other,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,50-1695443,24919.0
France,36276.11,28748.82,2019-03-23,Games,Johns and Sons,Othello Bowes,Ora Grennan,PC,20-9472915,6790.0
France,105464.41,84761.75,2019-08-27,Books,"Schmitt, Purdy and Johnson",Othello Bowes,Avrit Chanders,PC,30-4045249,49049.0
France,254021.98,205605.39,2019-03-07,Clothing,McGlynn-Prosacco,Othello Bowes,Maighdiln Upcraft,PC,52-3693331,96206.0
France,154950.74,133195.66,2019-09-10,Smartphones,Kihn Inc,Othello Bowes,Crysta Halls,Tablet,45-8966277,76328.0
France,49374.25,39208.09,2019-05-21,Books,Stehr LLC,Othello Bowes,Ora Grennan,PC,87-1399932,14734.0
France,72749.07,59108.62,2019-01-20,Smartphones,Johns and Sons,Othello Bowes,Amelina Piscopiello,PC,19-0320558,29481.0
France,35214.85,27985.24,2019-03-13,Electronics,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Ora Grennan,PC,46-5580805,6155.0
France,68173.22,54040.91,2020-11-14,Smartphones,Larkin-Collier,Othello Bowes,Amelina Piscopiello,PC,89-7513050,26712.0
